order_id,customer_id,item_name,category,quantity,price,payment_method,order_status,order_timestamp,rating,delivery_time_mins,city
ORD005349,CUST0098,Egg Curry,Main Course,1,179.19,Net Banking,Delivered,2023-04-05 19:17:00,4.2,54.0,Mumbai
ORD002609,CUST0273,Egg Curry,Main Course,1,180.18,Digital Wallet,Pending,2022-10-07 09:42:00,2.5,71.0,Delhi
ORD003094,CUST0246,Kheer,Desserts,2,178.15,Cash,Cancelled,2023-05-17 10:54:00,4.7,32.0,Delhi
ORD003780,CUST0579,Veg Burger,Burgers,3,462.28,Net Banking,Delivered,2023-02-03 17:34:00,4.7,,Pune
ORD005987,CUST0643,Paratha,Breads,2,101.72,Credit Card,Delivered,2023-01-19 20:38:00,,75.0,Hyderabad
ORD005011,CUST0435,Pepperoni Pizza,Pizza,2,679.82,Net Banking,Cancelled,11/12/2022 12:46,4.8,71.0,Bangalore
ORD002042,CUST0729,Mojito,Drinks,2,251.0,Debit Card,Pending,2022-12-05 10:35:00,4.9,72.0,Bangalore
ORD002451,CUST0361,Bruschetta,Starters,3,377.21,Digital Wallet,Pending,2023-06-13 21:21:00,4.3,68.0,Delhi
ORD005702,CUST0209,Club Sandwich,Sandwiches,1,161.08,Digital Wallet,Delivered,2022-12-17 19:11:00,3.4,18.0,Bangalore
ORD001960,CUST0083,Veg Supreme Pizza,Pizza,3,889.59,Digital Wallet,Delivered,2023-09-27 17:57:00,4.7,25.0,
ORD004240,CUST0118,Pepperoni Pizza,Pizza,1,346.59,Credit Card,Delivered,2022-10-23 19:51:00,3.9,46.0,Chennai
ORD003892,CUST0766,Chicken Fried Rice,Main Course,3,740.59,Credit Card,Cancelled,2023-05-05 19:48:00,3.1,21.0,Delhi
ORD005169,CUST0678,Fish Fingers,Starters,3,648.75,Cash,Pending,2023-09-07 22:08:00,3.3,73.0,Pune
ORD002919,CUST0688,Cold Coffee,Drinks,2,194.09,Credit Card,Pending,2023-07-15 08:12:00,3.5,67.0,Hyderabad
ORD005801,CUST0651,Spring Rolls,Starters,1,121.16,UPI,Delivered,2023-06-09 19:04:00,3.9,18.0,Chennai
ORD005293,CUST0498,Onion Rings,Starters,1,109.15,Credit Card,Pending,21/10/2022 13:38,3.5,62.0,Delhi
ORD005506,CUST0505,Veg Fried Rice,Main Course,2,391.21,Debit Card,Delivered,2023-03-22 16:34:00,2.5,62.0,Hyderabad
ORD004497,CUST0541,Chicken Biryani,Main Course,4,1435.51,Net Banking,Delivered,2022-10-10 12:52:00,3.9,27.0,Pune
ORD002912,CUST0473,Veg Supreme Pizza,Pizza,1,310.25,UPI,Delivered,2022-12-10 20:16:00,2.8,,Mumbai
ORD003897,CUST0795,Garlic Naan,Breads,4,250.85,Digital Wallet,Pending,2023-01-19 12:14:00,3.8,17.0,Bangalore
ORD004604,CUST0406,Spring Rolls,STARTERS,5,610.51,Debit Card,Cancelled,2023-06-05 19:07:00,2.9,46.0,
ORD005587,CUST0190,Classic Burger,Burgers,3,555.11,Cash,Delivered,2023-10-09 13:18:00,3.2,74.0,Pune
ORD005110,CUST0693,Naan,Breads,3,124.26,UPI,Cancelled,2023-05-03 11:19:00,2.5,46.0,Bangalore
ORD005996,CUST0429,Onion Rings,Starters,-1,111.46,Digital Wallet,Delivered,2023-04-23 15:39:00,2.6,20.0,Chennai
ORD002323,CUST0685,Cold Coffee,Drinks,2,203.74,UPI,Cancelled,2023-09-23 11:30:00,4.3,63.0,Mumbai
ORD002507,CUST0211,Paneer Tikka,Starters,1,196.52,Credit Card,Delivered,2023-04-23 09:33:00,4.3,51.0,Delhi
ORD002720,CUST0657,Tandoori Roti,Breads,2,61.48,Digital Wallet,Delivered,2023-09-19 09:11:00,4.9,30.0,Delhi
ORD005786,CUST0357,Mojito,Drinks,2,255.25,Credit Card,In Progress,2022-11-15 08:56:00,3.2,65.0,Delhi
ORD006079,CUST0447,Bruschetta,Starters,1,130.59,Cash,Cancelled,2023-02-05 09:29:00,3.8,,Delhi
ORD006340,CUST0114,Tandoori Roti,Breads,1,29.27,Cash,Delivered,2023-06-12 20:07:00,3.8,29.0,Delhi
ORD002817,CUST0134,Chicken Soup,Starters,4,613.56,Digital Wallet,Delivered,2023-10-26 21:42:00,3.4,50.0,Mumbai
ORD006319,CUST0431,Lamb Rogan Josh,Main Course,1,402.8,Digital Wallet,Delivered,2022-10-14 21:04:00,2.8,20.0,Bangalore
ORD002047,CUST0176,Chicken Biryani,Main Course,1,340.21,Credit Card,Delivered,2023-09-28 12:07:00,3.8,33.0,Mumbai
ORD003618,CUST0704,Cheesecake,Desserts,1,180.24,Digital Wallet,In Progress,2023-05-06 20:58:00,2.9,15.0,Chennai
ORD004200,CUST0468,Fish Curry,Main Course,1,340.46,Credit Card,Delivered,2023-07-13 19:21:00,4.6,67.0,Chennai
ORD001553,CUST0564,Grilled Salmon,Main Course,1,438.33,Net Banking,Delivered,2023-07-07 11:49:00,3.4,43.0,Hyderabad
ORD002142,CUST0054,Veg Supreme Pizza,Pizza,3,903.38,Debit Card,Delivered,2022-10-03 21:55:00,2.8,75.0,Bangalore
ORD002163,CUST0226,Fish Curry,Main Course,2,689.51,Net Banking,Delivered,2022-12-15 22:54:00,3.4,16.0,Delhi
ORD005652,CUST0161,Cold Coffee,Drinks,1,103.81,Cash,Pending,2023-02-26 17:26:00,4.0,25.0,Delhi
ORD002161,CUST0360,Fish Curry,Main Course,1,350.33,Digital Wallet,Delivered,2023-03-21 13:47:00,4.2,31.0,Bangalore
ORD001808,CUST0049,Masala Chai,Drinks,4,165.46,Digital Wallet,Delivered,2023-06-25 13:36:00,4.8,47.0,Mumbai
ORD001167,CUST0778,Dal Makhani,Main Course,1,229.18,Net Banking,Cancelled,2023-05-30 19:08:00,3.6,,Mumbai
ORD006628,CUST0335,Chicken Biryani,Main Course,1,363.1,Debit Card,Delivered,2022-10-11 21:09:00,4.5,53.0,Hyderabad
ORD003954,CUST0048,Lamb Rogan Josh,Main Course,2,801.71,Net Banking,Pending,2023-10-13 12:39:00,3.6,57.0,Bangalore
ORD006300,CUST0346,Tiramisu,Desserts,5,1031.54,Debit Card,In Progress,2022-11-15 08:10:00,3.5,35.0,Chennai
ORD005751,CUST0503,Dal Makhani,Main Course,1,216.04,Net Banking,Delivered,2023-01-07 12:56:00,2.7,41.0,Mumbai
ORD004707,CUST0355,Garlic Bread,Starters,4,342.96,,Pending,2023-04-30 18:23:00,4.2,64.0,Delhi
ORD001221,CUST0407,Margherita Pizza,Pizza,4,1083.61,UPI,Delivered,2022-12-30 21:02:00,4.8,70.0,Bangalore
ORD002044,CUST0195,Veg Biryani,Main Course,5,1272.66,Net Banking,Cancelled,2023-07-17 08:44:00,3.7,49.0,Chennai
ORD001263,CUST0408,Kheer,Desserts,1,87.36,Cash,Delivered,2022-12-13 20:45:00,2.9,30.0,Chennai
ORD003654,CUST0291,Onion Rings,Starters,3,324.9,Net Banking,Delivered,2023-08-20 17:34:00,4.8,46.0,Bangalore
ORD002354,CUST0030,Garlic Bread,Starters,1,91.38,Digital Wallet,Delivered,2023-05-03 13:40:00,2.8,54.0,Chennai
ORD001254,CUST0077,Rasgulla,Desserts,5,366.0,Net Banking,Delivered,2023-06-26 08:54:00,4.4,41.0,
ORD004038,CUST0587,Naan,Breads,5,190.61,Net Banking,Delivered,2023-01-08 19:31:00,4.4,15.0,Bangalore
ORD005861,CUST0613,Palak Paneer,Main Course,3,807.16,Cash,In Progress,2023-05-30 12:10:00,4.9,,
ORD002745,CUST0036,Veg Burger,Burgers,3,434.66,Digital Wallet,Delivered,2023-04-12 08:23:00,4.2,72.0,Hyderabad
ORD004607,CUST0065,Paneer Tikka,Starters,3,620.26,UPI,Delivered,2023-03-08 18:56:00,2.8,69.0,Mumbai
ORD001881,CUST0707,Veg Fried Rice,Main Course,1,207.6,UPI,Delivered,2022-10-13 22:14:00,4.8,27.0,Delhi
ORD003759,CUST0016,Mushroom Risotto,Main Course,4,1186.1,Credit Card,Delivered,2023-06-13 17:24:00,2.9,43.0,Mumbai
ORD003929,CUST0407,Pasta Arrabbiata,Main Course,1,232.45,Digital Wallet,In Progress,2023-06-19 11:38:00,3.6,71.0,Hyderabad
ORD003970,CUST0647,Egg Curry,Main Course,3,555.31,Credit Card,Delivered,2023-03-06 09:41:00,2.5,42.0,Pune
ORD001079,CUST0122,Watermelon Juice,Drinks,1,72.18,Digital Wallet,Cancelled,2023-03-05 08:15:00,4.0,65.0,Chennai
ORD001994,CUST0764,Dal Makhani,Main Course,1,215.66,UPI,In Progress,2023-08-02 21:41:00,5.0,57.0,Pune
ORD005483,CUST0450,Tandoori Roti,Breads,4,117.96,Net Banking,Pending,2023-04-26 19:57:00,3.0,26.0,Mumbai
ORD003927,CUST0391,Veg Burger,Burgers,2,313.84,Credit Card,Cancelled,2023-03-04 12:25:00,3.6,61.0,Delhi
ORD001228,CUST0377,Pepperoni Pizza,Pizza,3,1069.98,Digital Wallet,Delivered,2023-08-24 21:18:00,3.0,23.0,Hyderabad
ORD003707,CUST0518,Kheer,Desserts,4,342.41,Net Banking,Delivered,2023-04-21 20:16:00,5.0,22.0,Delhi
ORD002351,CUST0109,Tandoori Roti,Breads,2,60.6,Net Banking,In Progress,2023-03-13 20:40:00,4.9,,Pune
ORD004781,CUST0051,Bruschetta,Starters,1,130.93,Cash,Delivered,2023-07-12 08:29:00,5.0,46.0,
ORD006594,CUST0209,Egg Curry,Main Course,5,938.29,UPI,Delivered,2023-02-22 09:59:00,5.0,31.0,Hyderabad
ORD001023,CUST0454,Egg Curry,Main Course,2,352.03,Digital Wallet,Delivered,2023-02-05 21:04:00,2.6,,Mumbai
ORD006373,CUST0294,Cold Coffee,Drinks,2,194.1,Debit Card,Pending,2023-04-18 13:03:00,4.4,65.0,Pune
ORD005141,CUST0604,Tandoori Roti,Breads,2,57.51,Debit Card,Pending,2023-09-08 21:45:00,3.4,20.0,Hyderabad
ORD005577,CUST0096,Mutton Curry,Main Course,1,382.78,Cash,Pending,2022-11-05 19:44:00,3.3,62.0,Delhi
ORD006632,CUST0475,Kheer,Desserts,1,94.18,Net Banking,Delivered,2022-12-31 11:42:00,3.2,43.0,Hyderabad
ORD005034,CUST0765,Dal Makhani,Main Course,1,220.05,,In Progress,2023-07-09 13:47:00,3.8,45.0,Chennai
ORD005790,CUST0505,Veg Fried Rice,Main Course,1,201.49,UPI,In Progress,2023-10-02 20:49:00,2.7,37.0,
ORD003694,CUST0784,Tiramisu,DESSERTS,2,386.37,UPI,Cancelled,2023-05-15 20:17:00,4.3,57.0,Delhi
ORD006865,CUST0633,Classic Burger,Burgers,1,182.63,UPI,Cancelled,2023-02-14 12:53:00,3.9,43.0,Hyderabad
ORD005074,CUST0153,Spring Rolls,Starters,2,243.77,,Pending,2023-03-15 21:46:00,4.8,55.0,Chennai
ORD003407,CUST0190,Paneer Tikka,Starters,2,417.65,UPI,Cancelled,2023-02-27 17:13:00,3.0,73.0,Bangalore
ORD003344,CUST0650,Spring Rolls,Starters,2,249.45,Debit Card,Cancelled,2023-05-14 13:14:00,4.6,16.0,Mumbai
ORD002128,CUST0178,Veg Manchurian,Starters,3,476.93,Credit Card,In Progress,2023-04-23 21:16:00,4.6,60.0,Bangalore
ORD002119,CUST0192,Chicken Fried Rice,Main Course,3,786.26,Credit Card,In Progress,2023-08-21 19:22:00,,34.0,Delhi
ORD006513,CUST0003,Paneer Tikka,Starters,1,209.95,Debit Card,Delivered,2023-03-19 13:29:00,3.6,39.0,Chennai
ORD006054,CUST0429,Club Sandwich,Sandwiches,5,833.03,UPI,Delivered,2022-12-05 08:09:00,4.6,43.0,Mumbai
ORD005600,CUST0412,Cold Brew Coffee,Drinks,3,434.53,UPI,Delivered,2023-02-04 09:29:00,,34.0,Hyderabad
ORD003177,CUST0705,Palak Paneer,Main Course,2,544.23,Digital Wallet,Cancelled,2022-10-22 12:22:00,4.5,,Chennai
ORD006183,CUST0101,BLT Sandwich,Sandwiches,2,344.42,Debit Card,Pending,2023-03-29 09:39:00,3.1,38.0,Pune
ORD002215,CUST0141,BBQ Chicken Pizza,Pizza,3,1123.53,Digital Wallet,Delivered,2023-02-21 08:58:00,3.3,50.0,Delhi
ORD005024,CUST0443,Veg Manchurian,Starters,1,154.13,,In Progress,2023-02-11 08:51:00,4.2,66.0,
ORD004961,CUST0315,Paneer Butter Masala,Main Course,1,270.18,Cash,Delivered,2023-10-25 16:31:00,2.9,47.0,Bangalore
ORD006142,CUST0046,Fish Curry,Main Course,2,711.06,UPI,Delivered,2022-12-06 15:04:00,4.5,69.0,Hyderabad
ORD001037,CUST0699,Ice Cream Sundae,Desserts,1,147.97,Credit Card,In Progress,2022-10-21 21:13:00,2.8,64.0,Chennai
ORD004139,CUST0779,Veg Supreme Pizza,Pizza,2,620.52,Credit Card,Delivered,2022-11-10 19:30:00,,26.0,Bangalore
ORD004905,CUST0139,Chicken Fried Rice,Main Course,1,237.72,UPI,Delivered,2023-07-18 16:32:00,3.9,23.0,Pune
ORD004651,CUST0268,Veg Supreme Pizza,Pizza,2,585.07,Digital Wallet,Pending,2023-08-13 09:04:00,2.5,15.0,Pune
ORD004181,CUST0473,Veg Supreme Pizza,Pizza,3,876.21,UPI,Delivered,2023-08-27 13:50:00,4.7,31.0,Bangalore
ORD003366,CUST0123,Paneer Butter Masala,Main Course,5,1377.7,Cash,Cancelled,2023-03-22 16:45:00,4.8,50.0,Chennai
ORD001469,CUST0580,Ice Cream Sundae,Desserts,2,307.72,Digital Wallet,In Progress,2022-12-11 13:11:00,4.7,24.0,Pune
ORD004536,CUST0557,Palak Paneer,Main Course,3,798.2,Net Banking,Pending,2023-10-01 21:00:00,3.3,,Delhi
ORD002694,CUST0566,Lamb Rogan Josh,Main Course,2,799.73,Debit Card,Delivered,2023-07-25 11:42:00,4.6,74.0,Hyderabad
ORD002533,CUST0717,Butter Chicken,Main Course,5,1562.12,Cash,In Progress,2023-07-05 17:12:00,4.4,27.0,Delhi
ORD004109,CUST0674,Garlic Naan,Breads,5,308.9,Credit Card,Delivered,2022-12-25 08:40:00,,66.0,Hyderabad
ORD002706,CUST0565,Fish Fingers,Starters,2,423.13,Net Banking,Delivered,2022-12-09 14:35:00,2.8,66.0,Mumbai
ORD003619,CUST0533,Ice Cream Sundae,Desserts,2,306.72,UPI,In Progress,2023-08-07 12:41:00,3.8,75.0,Bangalore
ORD006212,CUST0725,Butter Chicken,Main Course,2,615.31,Cash,Pending,2023-10-04 21:28:00,2.8,59.0,Pune
ORD003272,CUST0336,Spring Rolls,Starters,1,119.12,Digital Wallet,Delivered,2023-07-21 08:33:00,4.6,60.0,
ORD002514,CUST0219,Chocolate Brownie,Desserts,1,115.08,Debit Card,Delivered,2023-04-01 10:09:00,3.4,73.0,Bangalore
ORD003103,CUST0064,Grilled Sandwich,Sandwiches,2,271.46,Net Banking,Delivered,2022-10-02 09:58:00,4.8,55.0,Pune
ORD006071,CUST0173,Fish Curry,Main Course,4,1315.43,Digital Wallet,In Progress,2023-03-21 09:43:00,4.0,50.0,
ORD001730,CUST0177,Chicken Tikka Masala,Main Course,3,1028.58,Net Banking,Delivered,2023-08-02 15:21:00,2.6,67.0,Mumbai
ORD003721,CUST0166,Cold Brew Coffee,Drinks,5,735.26,Digital Wallet,Pending,2023-05-26 19:00:00,4.5,20.0,Bangalore
ORD003473,CUST0048,Palak Paneer,Main Course,1,266.76,UPI,Cancelled,2023-09-12 18:52:00,4.4,51.0,Hyderabad
ORD004667,CUST0341,Paneer Tikka,Starters,2,395.93,Cash,Delivered,2023-01-25 19:16:00,3.6,67.0,Bangalore
ORD002902,CUST0199,Veg Fried Rice,Main Course,2,395.02,Net Banking,Delivered,2022-10-09 20:37:00,5.0,37.0,
ORD006230,CUST0318,Naan,Breads,1,38.47,Digital Wallet,Pending,2023-08-19 15:47:00,,46.0,Chennai
ORD003195,CUST0306,Rasgulla,Desserts,4,281.22,,Delivered,2023-07-02 14:25:00,4.4,22.0,Chennai
ORD003998,CUST0456,Mojito,Drinks,2,270.14,Digital Wallet,Delivered,2023-04-17 12:25:00,4.2,47.0,Chennai
ORD002438,CUST0128,Mutton Curry,Main Course,3,1151.22,Digital Wallet,In Progress,27/01/2023 19:19,4.0,24.0,Mumbai
ORD005838,CUST0377,Fresh Lime Soda,Drinks,5,306.72,Debit Card,Pending,2023-04-13 08:03:00,2.8,58.0,Delhi
ORD006992,CUST0739,Garlic Naan,Breads,2,114.04,Digital Wallet,Pending,14/08/2023 08:55,4.1,55.0,Pune
ORD004076,CUST0510,Dal Makhani,Main Course,3,641.36,UPI,Delivered,2023-02-03 21:43:00,4.7,50.0,Delhi
ORD004958,CUST0202,Masala Chai,Drinks,4,159.81,UPI,Pending,2023-03-08 21:18:00,3.6,57.0,Pune
ORD005122,CUST0723,Bruschetta,Starters,5,661.42,Credit Card,Delivered,2023-08-08 21:24:00,2.9,33.0,Hyderabad
ORD002108,CUST0610,Classic Burger,Burgers,1,174.16,Credit Card,Pending,2023-05-08 13:35:00,3.6,33.0,Pune
ORD004434,CUST0298,Paneer Butter Masala,Main Course,1,286.35,UPI,Pending,2022-12-18 12:21:00,4.0,65.0,Pune
ORD005304,CUST0645,Pasta Arrabbiata,Main Course,2,457.13,Cash,Cancelled,2023-02-28 11:35:00,,41.0,Hyderabad
ORD004740,CUST0514,Paratha,Breads,2,98.01,Credit Card,Delivered,2023-06-24 21:31:00,4.8,,Bangalore
ORD006970,CUST0068,Mango Lassi,Drinks,2,156.13,Digital Wallet,Cancelled,2022-10-25 20:26:00,4.2,57.0,Pune
ORD001084,CUST0146,Pasta Arrabbiata,Main Course,1,233.4,Cash,Delivered,2022-12-16 21:52:00,2.9,34.0,Chennai
ORD006231,CUST0461,Tandoori Roti,Breads,1,28.54,UPI,Delivered,2022-12-08 20:05:00,3.9,59.0,Mumbai
